trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-147.12022834851385,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-115.52209614343735,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-154.86530360297886,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-14.333754909561373,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,2,-80.07214635779233,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-54.265178913293404,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-94.80165767982238,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-205.11832686325556,"{0: 11, 1: 1, 2: 9, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,10,-24.37130464455692,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,10,-95.86336933647578,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,4,-110.65617900252091,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,7,-17.48676424826186,"{0: 19, 1: 2, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-105.43774197231753,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,2,-89.75784962119032,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-43.463265787106984,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-160.36553784391356,"{0: 23, 1: 2, 2: 1, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",35,13,-60.315771466703524,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-99.8331826902699,"{0: 20, 1: 1, 2: 0, 3: 2, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,6,-0.286015696266571,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.0}",25,11,9.708593640602729,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,-22.939453141272224,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,3,-104.58114487020843,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 3}",1
3,True,"{'a': 0, 'e': 0}",25,7,-19.363066846317974,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,8,-57.87151186169029,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,12,-49.94758005145063,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,13,17.847804492937694,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,6,-39.87058312836649,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,0,-48.818806491434756,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,0,12.644878992808945,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",30,10,-126.72764271669227,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",1
