trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.99}",20,0,-27.456150648906984,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.8, 'e': 0.98}",20,0,-87.91709004032856,"{0: 8, 1: 4, 2: 8, 3: 0, 4: 0}",0
3,False,"{'a': 0.8, 'e': 0.97}",25,0,-179.4166528967981,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 3}",0
4,False,"{'a': 0.8, 'e': 0.96}",20,0,-122.22376076321038,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.95}",25,0,-80.40134649310944,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.8, 'e': 0.94}",25,0,-90.5236333739372,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.8, 'e': 0.9299999999999999}",30,0,-118.820998761154,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.8, 'e': 0.9199999999999999}",20,0,-152.98485620506634,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.8, 'e': 0.9099999999999999}",25,0,-79.08875837495738,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.8999999999999999}",20,0,-137.49705668274996,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
11,False,"{'a': 0.8, 'e': 0.8899999999999999}",20,0,-126.70849916854286,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.8, 'e': 0.8799999999999999}",25,0,-142.10737458361862,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.8, 'e': 0.8699999999999999}",20,0,-119.4194040649636,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.8, 'e': 0.8599999999999999}",25,0,-143.02429661804274,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
15,False,"{'a': 0.8, 'e': 0.8499999999999999}",25,0,-192.61178738272056,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 4}",0
16,False,"{'a': 0.8, 'e': 0.8399999999999999}",20,0,-14.260928373155494,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.8, 'e': 0.8299999999999998}",20,0,-146.69705436880523,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
18,False,"{'a': 0.8, 'e': 0.8199999999999998}",20,0,-75.93031054660413,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.8, 'e': 0.8099999999999998}",25,0,-97.52634655975574,"{0: 17, 1: 3, 2: 2, 3: 2, 4: 1}",0
20,False,"{'a': 0.8, 'e': 0.7999999999999998}",25,0,-44.512280289749285,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",1
21,False,"{'a': 0.8, 'e': 0.7899999999999998}",20,2,-58.680135685361044,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
22,False,"{'a': 0.8, 'e': 0.7799999999999998}",20,2,-119.54588028822802,"{0: 10, 1: 2, 2: 2, 3: 3, 4: 1}",1
23,False,"{'a': 0.8, 'e': 0.7699999999999998}",25,0,-113.02968575706618,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
24,False,"{'a': 0.8, 'e': 0.7599999999999998}",25,0,-107.05656219627434,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
25,False,"{'a': 0.8, 'e': 0.7499999999999998}",20,4,-177.8069476317977,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 4}",1
26,False,"{'a': 0.8, 'e': 0.7399999999999998}",25,0,-40.4569107302482,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
27,False,"{'a': 0.8, 'e': 0.7299999999999998}",25,0,-61.41455557961402,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
28,False,"{'a': 0.8, 'e': 0.7199999999999998}",25,0,-54.55651254546312,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
29,False,"{'a': 0.8, 'e': 0.7099999999999997}",25,0,-145.1350090448014,"{0: 17, 1: 2, 2: 1, 3: 3, 4: 2}",0
30,False,"{'a': 0.8, 'e': 0.6999999999999997}",30,0,-117.48981366469893,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
31,False,"{'a': 0.8, 'e': 0.6899999999999997}",30,2,-102.53616749105097,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 1}",1
32,False,"{'a': 0.8, 'e': 0.6799999999999997}",25,0,-106.94763395466596,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
33,False,"{'a': 0.8, 'e': 0.6699999999999997}",20,0,-101.72001979312093,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
34,False,"{'a': 0.8, 'e': 0.6599999999999997}",25,18,-0.2599500583565266,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
35,False,"{'a': 0.8, 'e': 0.6499999999999997}",20,0,-122.26880315053751,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
36,False,"{'a': 0.8, 'e': 0.6399999999999997}",30,0,-101.55861457238674,"{0: 23, 1: 1, 2: 2, 3: 3, 4: 1}",0
37,False,"{'a': 0.8, 'e': 0.6299999999999997}",30,1,-71.26471508618759,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 1}",1
38,False,"{'a': 0.8, 'e': 0.6199999999999997}",20,0,-91.91435087946763,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
39,False,"{'a': 0.8, 'e': 0.6099999999999997}",20,5,-14.053836039739037,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
40,False,"{'a': 0.8, 'e': 0.5999999999999996}",30,0,-68.69268597264848,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
41,False,"{'a': 0.8, 'e': 0.5899999999999996}",30,15,-11.015556881021647,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
42,False,"{'a': 0.8, 'e': 0.5799999999999996}",25,0,-117.95578862362822,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
43,False,"{'a': 0.8, 'e': 0.5699999999999996}",25,0,-28.865896629512218,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
44,False,"{'a': 0.8, 'e': 0.5599999999999996}",20,9,15.49593685055454,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.8, 'e': 0.5499999999999996}",30,8,11.91081225098397,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.8, 'e': 0.5399999999999996}",30,3,-80.29952648982457,"{0: 21, 1: 3, 2: 0, 3: 1, 4: 2}",1
47,False,"{'a': 0.8, 'e': 0.5299999999999996}",25,8,-35.65947977542657,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
48,False,"{'a': 0.8, 'e': 0.5199999999999996}",20,0,-7.923865802378888,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
49,False,"{'a': 0.8, 'e': 0.5099999999999996}",25,4,-42.669528375856956,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 1}",1
50,False,"{'a': 0.8, 'e': 0.49999999999999956}",25,14,-15.006503222207808,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.8, 'e': 0.48999999999999955}",20,12,-49.48346738237678,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
52,False,"{'a': 0.8, 'e': 0.47999999999999954}",25,12,6.391044878860422,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.8, 'e': 0.46999999999999953}",25,0,-66.96592882669178,"{0: 19, 1: 3, 2: 0, 3: 2, 4: 1}",0
54,False,"{'a': 0.8, 'e': 0.4599999999999995}",25,5,-1.1476301779243845,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.8, 'e': 0.4499999999999995}",25,0,-14.423416040722286,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
