trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,19,4.256481834613746,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,-100,-667.2369095248862,"{0: 75, 1: 10, 2: 20, 3: 4, 4: 11}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,-29,-173.82510623171305,"{0: 33, 1: 2, 2: 10, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,-56,-476.7027422822223,"{0: 41, 1: 15, 2: 11, 3: 0, 4: 9}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,-100,-765.8314045568845,"{0: 72, 1: 10, 2: 25, 3: 8, 4: 10}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,-34,-177.76890659314475,"{0: 43, 1: 0, 2: 12, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,-20,-235.44546281250268,"{0: 25, 1: 2, 2: 7, 3: 2, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,-49,-393.7632224224479,"{0: 43, 1: 8, 2: 8, 3: 3, 4: 7}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,-10,-190.28186307146305,"{0: 20, 1: 0, 2: 4, 3: 3, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,-100,-658.6424393216168,"{0: 71, 1: 12, 2: 21, 3: 8, 4: 8}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,-20,-87.94421274209182,"{0: 38, 1: 5, 2: 12, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,-70,-425.8222230601412,"{0: 53, 1: 9, 2: 21, 3: 2, 4: 5}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,15,-2.384175512473364,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,-45,-371.2144495092789,"{0: 39, 1: 5, 2: 13, 3: 2, 4: 6}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,-79,-638.2014271600382,"{0: 60, 1: 11, 2: 19, 3: 4, 4: 10}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,15,-47.40457368496003,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 1.0}",25,-100,-459.4270511398827,"{0: 74, 1: 14, 2: 29, 3: 6, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,-24,-364.925090797602,"{0: 27, 1: 9, 2: 10, 3: 3, 4: 5}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,-1,-51.84165159397036,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,-44,-370.36649705262425,"{0: 41, 1: 1, 2: 13, 3: 3, 4: 6}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-68.76567828812665,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",25,-100,-568.6761828602694,"{0: 78, 1: 11, 2: 24, 3: 4, 4: 8}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,-56,-294.3672828637688,"{0: 50, 1: 9, 2: 17, 3: 2, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,12,-152.51451255328536,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 3}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,1,-10.793083759711688,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,-25,-140.99897301802682,"{0: 30, 1: 4, 2: 8, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,-21,-136.7991355742101,"{0: 31, 1: 2, 2: 5, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,-10,-188.91728785072152,"{0: 17, 1: 6, 2: 3, 3: 0, 4: 4}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,-100,-681.2067063991965,"{0: 69, 1: 10, 2: 26, 3: 6, 4: 9}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,-100,-529.1256893105133,"{0: 80, 1: 7, 2: 19, 3: 7, 4: 7}",0
